"Gene.names","pvalue.-log10","FoldChange","CBX1.T_4","CBX1.T_3","CBX1.T_2","CBX1.T_1","NLS.T_4","NLS.T_3","NLS.T_2","NLS.T_1"
"ACTB",1.53661990576388,-0.616,28.8704926074392,29.2706483439582,29.1606562572086,28.5751906316316,29.5503694979826,29.4553149258932,30.1028712887529,29.233124231332
"ACTBL2",2.5021332665831,1.061,19.7032495359541,20.2772764458229,19.8305534322538,20.009271882883,18.3810572550991,18.8495599350755,19.52161432623,18.8235498603107
"ACTL6A",2.37089682869022,1.093,19.9785857235384,20.1149009553754,20.6153280986554,20.3258803163082,19.5947455195464,18.6689204270047,19.6243926887373,18.77623569148
"ACTMAP",0.637844922236229,-0.75,18.010947716211,17.6748280885538,19.3129012285433,20.0766604720148,18.6441016752925,19.9613957321858,19.9606582379487,19.5100732181898
"ACTN1",4.20207701637811,-0.758,25.9235069402368,25.8265954064841,25.8757708979325,25.8588178816466,26.6702076083164,26.6940967601736,26.4668439331458,26.6839604391022
"ACTN4",3.64689416985907,-0.916,23.8273991272663,23.6380260768287,24.0893262959304,23.6266374857885,24.7920490183467,24.6337508791728,24.5584328245554,24.8616171655811
"ACTR1A",0.484555541028805,-0.512,15.4259184526787,17.2903240349328,17.2881892657948,17.2478884825522,17.3563551324503,17.2454965287478,16.651639549446,18.0481730333457
"ACTR2",0.535396932250956,-0.356,19.2220147702744,19.8137634494176,19.1942106798289,20.0357146533033,19.5365002038558,19.4332760943265,20.1468174461327,20.5723018172382
"ACTR3",0.9500230309628,-1.233,21.4666969042798,21.6697639213557,19.5653531379673,21.7916511498059,23.0239210839251,20.6837868141947,22.7249359702678,22.9941688365833
"ACTR5",1.87871735067649,-0.539,20.5356423209086,20.8175185110295,20.7776057723554,21.231528954047,21.4100176880664,21.4928122772642,21.4697402883677,21.1438497508207
"ACTR6",2.11138239673087,2.369,19.5366085421408,18.2959856065672,19.1464164485152,18.69810570641,18.2958691342861,16.4967372073777,14.93419998364,16.4732648805637
"ACTR8",0.485970054546684,-0.212,22.1587277780481,22.0995642586905,21.7160972695008,22.2636862295789,22.1889210249587,22.0415590467696,22.079584068575,22.7751961996593
"ACYP2",0.737375635123677,-0.258,24.7589873513805,24.9374349641218,24.8597671828427,24.5920472843506,25.2780693941017,25.1949893791627,25.1308481016912,24.5752906732688
"ADA",0.443281042078597,-0.966,21.1312601408641,20.4746404777961,18.6722329174826,16.8698420239516,21.087154239659,19.3100424059664,21.3725707790104,19.2427928324453
"ADAM23",0.548676987945048,0.589,16.7086607247961,16.1215876917688,17.284721449459,17.1099372638637,15.8176293895228,15.4389019422539,15.9112588929481,17.6994397157591
